timestamp	tweet
2020-11-09 19:36:26	The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large… https://t.co/k6Gje9cvhL
2020-11-09 17:54:50	...Chris will do a GREAT job! Mark Esper has been terminated. I would like to thank him for his service.
2020-11-09 17:54:50	I am pleased to announce that Christopher C. Miller, the highly respected Director of the National Counterterrorism… https://t.co/7VFuC34kUU
2020-11-09 12:31:44	STOCK MARKET UP BIG, VACCINE COMING SOON. REPORT 90% EFFECTIVE. SUCH GREAT NEWS!
2020-11-09 04:54:16	https://t.co/qsFn1Ee6B0
2020-11-09 04:35:05	https://t.co/yTvqk6tMXn
2020-11-09 04:34:59	https://t.co/nR1I8ly9tN
2020-11-09 04:34:51	https://t.co/SQDKtMux5y
2020-11-09 04:34:42	https://t.co/JuZMicwemC
2020-11-09 04:34:36	https://t.co/4j9bBhC77N
2020-11-09 04:14:54	https://t.co/JGyWpeFbWq
2020-11-09 00:23:26	https://t.co/EfYcyJtoJz
2020-11-09 00:22:05	https://t.co/tf4hOki1q1
2020-11-08 22:26:27	https://t.co/VMEU0QBEHA
2020-11-08 22:18:51	Watch @marklevinshow at 8:00 P.M.  Will discuss the Mail-In Ballot Hoax!
2020-11-08 19:55:32	Investigators Dispatched After Fulton County Discovers ‘Issue‘ with Ballot Reporting https://t.co/lShmKksQ0O via @BreitbartNews
